场景,客户端5,客户端5,客户端5,客户端5,客户端5,客户端5,客户端5,客户端5,客户端5,客户端5,客户端5,客户端5,客户端10,客户端10,客户端10,客户端10,客户端10,客户端10,客户端10,客户端10,客户端10,客户端10,客户端10,客户端10
dataset,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100
distribution,iid,iid,iid,non_iid,non_iid,non_iid,iid,iid,iid,non_iid,non_iid,non_iid,iid,iid,iid,non_iid,non_iid,non_iid,iid,iid,iid,non_iid,non_iid,non_iid
metric,Acc,Times,Energy,Acc,Times,Energy,Acc,Times,Energy,Acc,Times,Energy,Acc,Times,Energy,Acc,Times,Energy,Acc,Times,Energy,Acc,Times,Energy
algorithm,,,,,,,,,,,,,,,,,,,,,,,,
FedAvg_Baseline,79.08,11.726999930072344,1648.5629546715522,75.79,11.425959841413656,1712.2138573317463,48.53,11.521356789282056,1852.0641562042476,47.95,11.459146981848637,1809.4837017293705,72.93,9.572419663530075,1808.4612718024778,65.76,9.585146809726021,1609.3023566343743,37.75,12.275454693993028,2245.463022282623,38.14,10.884557303038655,1796.4887114814096
SplitFed,79.32,10.685071957689477,229.93233334564167,79.48,17.30317412756267,339.74150300900584,48.69,17.05755478374008,326.4807023485626,47.7,17.226949355137535,368.58597466346396,69.13,13.533717595461756,289.2576407796006,68.5,13.48785947224498,286.06842971596643,34.63,15.621005185427844,329.7005812915667,33.49,15.811052894808586,326.7039774085422
ARES,77.9,22.901784739048452,671.2082123337053,77.1,15.014193536020581,443.08324236660667,46.27,24.936969841499813,635.6122262478982,48.03,20.21192104952922,664.0929412704513,70.98,11.546508361037121,508.0155971701525,67.83,11.299201290982541,534.3374403222992,32.24,17.806372138642704,571.508613626917,35.06,16.079622404060792,542.5525014333167
RAF-SFL,81.34,7.510212514509447,219.76892138166636,77.82,7.073909269571072,210.00067193507147,48.45,7.8430193791326595,222.8965796187562,49.04,7.999233201037161,220.50022370394788,73.44,5.436866321963723,167.3127761450452,73.11,5.361704506025184,169.8830429122535,40.67,6.694550435873447,194.67912091158868,44.62,6.868715091642923,194.40208227804084
MADRL-SFL,79.53,2.4938235870169008,105.94753434247956,74.39,14.77532071063784,125.73183612094455,48.84,2.5607042316724544,103.1422736030616,40.91,14.757529438089346,116.22354995604582,72.93,8.223038706444203,197.99570560543327,40.3,1.4379894710960799,58.49552126298547,39.28,8.107189198200823,206.55641291949152,21.2,1.4107764810158405,59.09653088588887
HAC-SFL,79.4,2.625840451090131,105.0098154968315,76.7,2.5627426801742983,113.97683459699697,48.71,2.484731705127051,113.86582058072659,49.02,2.470156998034101,107.56996890600844,72.98,8.043532744840485,200.95592268705082,72.19,8.077847959216685,203.97302412092557,39.98,8.326334349417127,203.56774189753446,44.4,8.285570909605594,199.80643588207025
