global_round,test_accuracy,test_loss,round_time_s,avg_computation_time_s,avg_communication_time_s,avg_total_interaction_time_s,total_computation_energy_J,total_communication_energy_J,total_energy_consumption_J,avg_model_divergence
1,10.0,2.540956928253174,126.27510070800781,37.31557725003222,0.01,37.32557725003222,788.1908258433091,1.6213497567901174,0,0
2,10.0,2.540956928253174,120.97369480133057,33.09049244999187,0.01,33.10049244999187,624.4990590455739,2.1470614883734433,0,0
3,10.0,2.540956928253174,119.87632966041565,32.31133480000426,0.01,32.32133480000426,925.7000179676581,1.7338487584235511,0,0
4,10.0,2.540956928253174,129.34320759773254,35.84512355001061,0.01,35.85512355001061,991.9229828756168,1.6952124824817756,0,0
5,10.0,2.540956928253174,121.89662528038025,32.54699955001706,0.01,32.55699955001706,900.1826125191736,1.3715105539589099,0,0
